State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh","SPSR Nellore","Nellore APMC",Paddy(Common),"B P T",FAQ,22/09/2026,2440,2460,2453
"Andhra Pradesh",Srikakulam,"Jalumuru APMC",Paddy(Common),1121,FAQ,22/09/2026,2369,2369,2369
"Andhra Pradesh",Dr.B.R.A.Konaseema,"Amalapuram APMC",Paddy(Common),1001,FAQ,22/09/2026,2441,2468,2441
"Andhra Pradesh",Palnadu,"Rompicherla APMC",Maize,Hybrid/Local,FAQ,22/09/2026,2300,2500,2500
"Andhra Pradesh","Sri Sathya Sai","Penukonda APMC",Groundnut,Local,FAQ,22/09/2026,7400,7600,7500
Keralam,Idukki,"Kattappana Market",Banana,Palayamthodan,Medium,22/09/2026,2400,2500,2500
Keralam,Idukki,"Kattappana Market",Banana,Poovan,Medium,22/09/2026,4500,4800,4800
Haryana,Gurgaon,"Gurgaon APMC",Onion,Other,"Grade B",22/09/2026,4000,4500,4250
Haryana,Sirsa,"Rania APMC",Onion,Other,Non-FAQ,22/09/2026,0.11,0.14,0.12
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Onion,Other,"Grade A",22/09/2026,3000,4000,3500
Keralam,Idukki,"Kattappana Market",Onion,Small,Medium,22/09/2026,7500,8400,8000
Haryana,Gurgaon,"Gurgaon APMC",Potato,Other,"Grade A",22/09/2026,600,1000,800
Punjab,Mohali,"Lalru APMC",Potato,Other,Local,22/09/2026,800,800,800
Punjab,Amritsar,"Rayya APMC",Potato,Other,FAQ,22/09/2026,590,590,590
Haryana,Sirsa,"Rania APMC",Potato,Potato,Non-FAQ,22/09/2026,0.11,0.14,0.12
Haryana,Sirsa,"Rania(Jiwan nagar) APMC",Potato,Other,Non-FAQ,22/09/2026,65,77,70
Haryana,Gurgaon,"Gurgaon APMC",Cauliflower,Other,"Grade A",22/09/2026,3000,5000,4000
Punjab,Amritsar,"Rayya APMC",Cauliflower,Local,FAQ,22/09/2026,3172,3172,3172
Uttarakhand,Haridwar,"Roorkee APMC",Brinjal,Other,Local,22/09/2026,800,1000,900
Keralam,Thiruvananthapuram,"Vamanapuram Market",Brinjal,Other,Local,22/09/2026,4000,4500,4500
Keralam,Idukki,"Kattappana Market",Brinjal,Other,Medium,22/09/2026,4300,4500,4500
Keralam,Idukki,"Kattappana Market","Water Melon",Other,Medium,22/09/2026,1800,2000,2000
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ",Guar,Other,Local,22/09/2026,3000,4000,3500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Mousambi(Sweet Lime)",Mousambi,"Grade A",22/09/2026,2500,3500,3000
"Himachal Pradesh",Kangra,"SMY Baijnath","Mousambi(Sweet Lime)",Mousambi,"Grade A",22/09/2026,5500,6000,6000
Haryana,Gurgaon,"Gurgaon APMC",Tomato,Other,"Grade A",22/09/2026,1000,1400,1200
Punjab,Mohali,"Lalru APMC",Tomato,Deshi,Local,22/09/2026,2800,2800,2800
Telangana,Siddipet,"Vantamamidi APMC",Tomato,Tomato,Local,22/09/2026,1000,1800,1400
Punjab,Amritsar,"Rayya APMC","Bitter gourd","Bitter Gourd",FAQ,22/09/2026,1348,1348,1348
